Journal,Management,First Section,Second Section,Third Section,Fourth Section,Fifth Section
"2009 INTERNATIONAL CONFERENCE ON ENVIRONMENTAL SCIENCE AND INFORMATION APPLICATION TECHNOLOGY, VOL III, PROCEEDINGS,",1,X,,X,1,X
"2009 JOINT URBAN REMOTE SENSING EVENT, VOLS 1-3",1,X,,X,1,X
2010 18TH INTERNATIONAL CONFERENCE ON GEOINFORMATICS,1,X,,X,1,X
2010 ANNUAL INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE AND BIOLOGY SOCIETY (EMBC),0,X,X,X,0,X
"2010 INTERNATIONAL CONFERENCE ON ENERGY, ENVIRONMENT AND DEVELOPMENT (ICEED2010)",1,X,,X,1,X
"2011 2ND INTERNATIONAL CONFERENCE ON CHALLENGES IN ENVIRONMENTAL SCIENCE AND COMPUTER ENGINEERING (CESCE 2011), VOL 11, PT C",1,X,,X,1,X
"2011 3RD INTERNATIONAL CONFERENCE ON ENVIRONMENTAL SCIENCE AND INFORMATION APPLICATION TECHNOLOGY ESIAT 2011, VOL 10, PT B",0,X,X,X,0,X
2011 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM (IGARSS),0,X,X,X,0,X
2011 INTERNATIONAL CONFERENCE ON ENERGY AND ENVIRONMENTAL SCIENCE-ICEES 2011,0,X,X,X,0,X
"2011 INTERNATIONAL CONFERENCE ON MANAGEMENT SCIENCE AND ENGINEERING - 18TH ANNUAL CONFERENCE PROCEEDINGS, VOLS I AND II",1,X,,X,1,X
2012 7TH INTERNATIONAL CONFERENCE ON SYSTEM OF SYSTEMS ENGINEERING (SOSE),1,X,,X,1,X
2012 FIRST INTERNATIONAL CONFERENCE ON AGRO-GEOINFORMATICS (AGRO-GEOINFORMATICS),1,X,,X,1,X
"2012 IEEE INTERNATIONAL CONFERENCE ON GREEN COMPUTING AND COMMUNICATIONS, CONFERENCE ON INTERNET OF THINGS, AND CONFERENCE ON CYBER, PHYSICAL AND SOCIAL COMPUTING (GREENCOM 2012)",0,X,X,X,0,X
2013 21ST INTERNATIONAL CONFERENCE ON GEOINFORMATICS (GEOINFORMATICS),1,X,X,1,X,X
2013 ASEE ANNUAL CONFERENCE,0,X,X,X,0,X
2013 FOURTH INTERNATIONAL CONFERENCE ON DIGITAL MANUFACTURING AND AUTOMATION (ICDMA),0,X,X,0,X,X
2013 IEEE 33RD INTERNATIONAL CONFERENCE ON DISTRIBUTED COMPUTING SYSTEMS (ICDCS),0,X,X,0,X,X
2013 IEEE INTERNATIONAL CONFERENCE ON SPACE SCIENCE AND COMMUNICATION (ICONSPACE),0,X,X,0,X,X
2013 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM (IGARSS),1,X,,X,1,X
2013 INTERNATIONAL CONFERENCE OF INFORMATION AND COMMUNICATION TECHNOLOGY (ICOICT),0,X,X,0,X,X
2013 INTERNATIONAL CONFERENCE ON COMPUTER SCIENCES AND APPLICATIONS (CSA),1,X,,X,1,X
2013 INTERNATIONAL SYMPOSIUM ON ENVIRONMENTAL SCIENCE AND TECHNOLOGY (2013 ISEST),1,X,,X,1,X
2013 ISES SOLAR WORLD CONGRESS,0,X,X,0,X,X
2013 SECOND INTERNATIONAL CONFERENCE ON AGRO-GEOINFORMATICS (AGRO-GEOINFORMATICS),1,X,X,1,X,X
2013 SIXTH INTERNATIONAL CONFERENCE ON DEVELOPMENTS IN ESYSTEMS ENGINEERING (DESE),0,X,X,0,X,X
2013 THIRD INTERNATIONAL CONFERENCE ON INTELLIGENT SYSTEM DESIGN AND ENGINEERING APPLICATIONS (ISDEA),1,X,X,1,X,X
2014 22ND MEDITERRANEAN CONFERENCE ON CONTROL AND AUTOMATION (MED),0,X,X,0,X,X
"2014 2ND INTERNATIONAL CONFERENCE ON ECONOMIC, BUSINESS MANAGEMENT AND EDUCATION INNOVATION (EBMEI 2014), VOL 41",0,X,X,0,X,X
2014 7TH INTERNATIONAL CONFERENCE ON BIOMEDICAL ENGINEERING AND INFORMATICS (BMEI 2014),0,X,X,0,X,X
2014 IEEE CONFERENCE ON COMMUNICATIONS AND NETWORK SECURITY (CNS),0,X,X,0,X,X
2014 IEEE/OES BALTIC INTERNATIONAL SYMPOSIUM (BALTIC),0,X,X,0,X,X
2014 SEVENTH INTERNATIONAL CONFERENCE ON CONTEMPORARY COMPUTING (IC3),0,X,X,0,X,X
"2015 17TH INTERNATIONAL CONFERENCE ON E-HEALTH NETWORKING, APPLICATION & SERVICES (HEALTHCOM)",0,X,X,0,X,X
2015 27TH CHINESE CONTROL AND DECISION CONFERENCE (CCDC),1,X,X,1,X,X
"2015 3RD INTERNATIONAL CONFERENCE ON ADVANCES IN SOCIAL SCIENCE, HUMANITIES, AND MANAGEMENT, ASSHM 2015",0,X,X,0,X,X
2015 4TH INTERNATIONAL CONFERENCE ON ENERGY AND ENVIRONMENTAL PROTECTION (ICEEP 2015),1,X,X,1,X,X
2015 IEEE INTERNATIONAL CONFERENCE ON IMAGE PROCESSING (ICIP),0,X,X,0,X,X
2015 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM (IGARSS),1,X,X,1,X,X
2015 IEEE INTERNATIONAL RADAR CONFERENCE (RADARCON),0,X,X,0,X,X
2015 INTERNATIONAL CONFERENCE ON COMMUNICATIONS AND SIGNAL PROCESSING (ICCSP),0,X,X,0,X,X
"2015 SSR International Conference on Social Sciences and Information (SSR-SSI 2015), Pt 2",0,X,X,X,X,X
2015 WINTER SIMULATION CONFERENCE (WSC),1,X,X,1,X,X
"2016 23RD ANNUAL INTERNATIONAL CONFERENCE ON MANAGEMENT SCIENCE & ENGINEERING, VOLS. I AND II",0,X,0,0,X,X
"2016 3RD INTERNATIONAL CONFERENCE IN HUMANITIES, SOCIAL SCIENCES AND GLOBAL BUSINESS MANAGEMENT (ISSGBM 2017)",0,X,0,X,X,X
2016 IEEE 3RD WORLD FORUM ON INTERNET OF THINGS (WF-IOT),0,X,0,X,X,X
2016 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM (IGARSS),0,X,0,X,X,X
2016 INTERNATIONAL MULTIDISCIPLINARY CONFERENCE ON COMPUTER AND ENERGY SCIENCE (SPLITECH),0,X,0,X,X,X
2016 PROGRESS IN ELECTROMAGNETICS RESEARCH SYMPOSIUM (PIERS),1,X,1,X,X,X
2017 14TH INTERNATIONAL CONFERENCE ON THE EUROPEAN ENERGY MARKET (EEM 17),1,X,1,X,X,X
"2017 2ND IEEE INTERNATIONAL CONFERENCE ON WIRELESS COMMUNICATIONS, SIGNAL PROCESSING AND NETWORKING (WISPNET)",0,X,0,X,X,X
"2017 3RD INTERNATIONAL CONFERENCE ON ENERGY, ENVIRONMENT AND MATERIALS SCIENCE (EEMS 2017)",0,X,0,X,X,X
2017 5TH INTERNATIONAL CONFERENCE ON ENVIRONMENT POLLUTION AND PREVENTION (ICEPP 2017),1,1,X,X,X,X
2017 8TH IEEE INTERNATIONAL CONFERENCE ON COGNITIVE INFOCOMMUNICATIONS (COGINFOCOM),0,X,0,X,X,X
"2017 IEEE INTERNATIONAL CONFERENCE ON ACOUSTICS, SPEECH AND SIGNAL PROCESSING (ICASSP)",0,X,0,X,X,X
2017 IEEE INTERNATIONAL CONFERENCE ON BIG DATA (BIG DATA),1,X,1,X,X,X
2017 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM (IGARSS),1,X,1,X,X,X
2017 INTERNATIONAL CONFERENCE ON BUSINESS AND ECONOMICS (ICBE2017),1,X,1,X,X,X
2018 26TH INTERNATIONAL CONFERENCE ON GEOINFORMATICS (GEOINFORMATICS 2018),0,0,X,X,X,X
2018 2ND INTERNATIONAL CONFERENCE ON ENVIRONMENTAL AND ENERGY ENGINEERING (IC3E 2018),0,0,X,X,X,X
"2018 4TH INTERNATIONAL CONFERENCE ON ECONOMICS, MANAGEMENT AND HUMANITIES SCIENCE (ECOMHS 2018)",1,1,X,X,X,X
2018 4TH INTERNATIONAL CONFERENCE ON UNIVERSAL VILLAGE (IEEE UV 2018): HUMANKIND IN HARMONY WITH NATURE THROUGH WISE USE OF TECHNOLOGY,0,0,X,X,X,X
2018 7TH INTERNATIONAL CONFERENCE ON AGRO-GEOINFORMATICS (AGRO-GEOINFORMATICS),1,1,X,X,X,X
"2018 9TH INTERNATIONAL CONFERENCE ON COMPUTING, COMMUNICATION AND NETWORKING TECHNOLOGIES (ICCCNT)",0,0,X,X,X,X
"2018 ELECTRICAL POWER, ELECTRONICS, COMMUNICATIONS, CONTROLS, AND INFORMATICS SEMINAR (EECCIS)",1,1,X,X,X,X
2018 FIRST INTERNATIONAL CONFERENCE ON ENVIRONMENT PREVENTION AND POLLUTION CONTROL TECHNOLOGY (EPPCT 2018),1,1,X,X,X,X
2018 IEEE INTERNATIONAL WORKSHOP ON METROLOGY FOR THE SEA; LEARNING TO MEASURE SEA HEALTH PARAMETERS (METROSEA),1,1,X,X,X,X
2018 INTERNATIONAL CONFERENCE ON ECONOMIC MANAGEMENT SCIENCE AND FINANCIAL INNOVATION (ICEMSFI 2018),1,1,X,X,X,X
2019 16TH IEEE ANNUAL CONSUMER COMMUNICATIONS & NETWORKING CONFERENCE (CCNC),1,1,X,X,X,X
20TH INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION (MODSIM2013),1,X,,X,1,X
20TH INTERNATIONAL SCIENTIFIC CONFERENCE - ECONOMICS AND MANAGEMENT 2015 (ICEM-2015),1,X,X,1,X,X
21ST INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION (MODSIM2015),1,X,X,1,X,X
23RD TALL TIMBERS FIRE ECOLOGY CONFERENCE: FIRE IN GRASSLAND AND SHRUBLAND ECOSYSTEMS,1,X,,X,X,1
28TH EUROPEAN SYMPOSIUM ON COMPUTER AIDED PROCESS ENGINEERING,1,1,X,X,X,X
2ND INTERNATIONAL CONFERENCE ON AGRICULTURAL AND BIOLOGICAL SCIENCES (ABS 2016),1,X,1,X,X,X
2ND INTERNATIONAL CONFERENCE ON INDUSTRIAL ENGINEERING (ICIE-2016),1,X,1,X,X,X
2ND INTERNATIONAL CONFERENCE ON INTEGRATED COASTAL MANAGEMENT AND MARINE BIOTECHNOLOGY,1,1,X,X,X,X
2ND INTERNATIONAL GEOGRAPHY SYMPOSIUM-MEDITERRANEAN ENVIRONMENT 2010,1,X,,X,1,X
"2ND INTERNATIONAL SYMPOSIUM NEW METROPOLITAN PERSPECTIVES - STRATEGIC PLANNING, SPATIAL PLANNING, ECONOMIC PROGRAMS AND DECISION SUPPORT TOOLS, THROUGH THE IMPLEMENTATION OF HORIZON/EUROPE2020, (ISTH2020)",1,X,1,X,X,X
2ND INTERNATIONAL SYMPOSIUM ON LAPAN-IPB SATELLITE (LISAT) FOR FOOD SECURITY AND ENVIRONMENTAL MONITORING,1,X,1,X,X,X
2ND INTERNATIONAL SYMPOSIUM ON MARINE AND FISHERIES RESEARCH,1,1,X,X,X,X
3 BIOTECH,1,X,1,X,X,X
35TH INTERNATIONAL SYMPOSIUM ON REMOTE SENSING OF ENVIRONMENT (ISRSE35),0,X,X,0,X,X
3RD EUROPEAN CONFERENCE ON FLOOD RISK MANAGEMENT (FLOODRISK 2016),0,X,0,X,X,X
"3RD INTERNATIONAL CONFERENCE OF EDUCATION, RESEARCH AND INNOVATION (ICERI2010)",0,X,X,X,0,X
3RD INTERNATIONAL CONFERENCE OF PLANNING IN THE ERA OF UNCERTAINTY,0,X,0,X,X,X
"3RD INTERNATIONAL CONFERENCE ON ADVANCES IN ENVIRONMENT RESEARCH, 2017",1,X,1,X,X,X
"3RD INTERNATIONAL CONFERENCE ON SUSTAINABLE FUTURE FOR HUMAN SECURITY, SUSTAIN 2012",1,X,,X,1,X
"3RD WORLD MULTIDISCIPLINARY CIVIL ENGINEERING, ARCHITECTURE, URBAN PLANNING SYMPOSIUM (WMCAUS 2018)",1,1,X,X,X,X
41ST WORLD CONGRESS OF VINE AND WINE,1,1,X,X,X,X
47TH INTERNATIONAL FEDERATION OF LANDSCAPE ARCHITECTS (IFLA) WORLD CONGRESS,1,X,,X,1,X
4TH INTERNATIONAL CONFERENCE CITIZENS AND GOVERNANCE FOR SUSTAINABLE DEVELOPMENT,1,X,,X,X,1
4TH INTERNATIONAL CONFERENCE ON ADVANCES IN ENERGY RESOURCES AND ENVIRONMENT ENGINEERING,1,1,X,X,X,X
"4TH INTERNATIONAL CONFERENCE ON BUILDING RESILIENCE, INCORPORATING THE 3RD ANNUAL CONFERENCE OF THE ANDROID DISASTER RESILIENCE NETWORK",1,X,X,1,X,X
"4TH INTERNATIONAL CONFERENCE ON EDUCATION, SOCIAL SCIENCES AND HUMANITIES (SOCIOINT 2017)",0,X,0,X,X,X
"4TH INTERNATIONAL TECHNOLOGY, EDUCATION AND DEVELOPMENT CONFERENCE (INTED 2010)",0,X,X,X,0,X
59TH INTERNATIONAL MEAT INDUSTRY CONFERENCE MEATCON2017,0,X,0,X,X,X
"6TH INTERNATIONAL CONFERENCE OF EDUCATION, RESEARCH AND INNOVATION (ICERI 2013)",1,X,,X,1,X
6TH INTERNATIONAL SYMPOSIUM OF ASIA INSTITUTE OF URBAN ENVIRONMENT: ENERGY CONSERVATION AND CARBON OFF IN ASIA CITY,1,X,,X,1,X
"7TH INTERNATIONAL SCIENTIFIC CONFERENCE RURAL DEVELOPMENT 2015: TOWARDS THE TRANSFER OF KNOWLEDGE, INNOVATIONS AND SOCIAL PROGRESS",1,X,X,1,X,X
8TH IGRSM INTERNATIONAL CONFERENCE AND EXHIBITION ON GEOSPATIAL & REMOTE SENSING (IGRSM 2016),1,X,1,X,X,X
"8TH INTERNATIONAL CONFERENCE INTERDISCIPLINARITY IN ENGINEERING, INTER-ENG 2014",1,X,X,1,X,X
8TH INTERNATIONAL CONFERENCE ON COMMUNITIES AND TECHNOLOGIES (C&T 2017),0,X,0,X,X,X
9TH INTERNATIONAL CONFERENCE ON ENVIRONMENTAL SCIENCE AND DEVELOPMENT (ICESD 2018),1,1,X,X,X,X
ACADEMIC MEDICINE,0,X,X,0,X,X
ACADEMY OF MANAGEMENT JOURNAL,0,0,X,X,X,X
ACCIDENT ANALYSIS AND PREVENTION,0,X,X,X,X,0
ACCOUNTING AUDITING & ACCOUNTABILITY JOURNAL,0,0,0,X,X,X
ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY,0,X,X,X,0,X
ACME-AN INTERNATIONAL E-JOURNAL FOR CRITICAL GEOGRAPHIES,0,0,X,X,X,X
ACS NANO,0,X,X,X,0,X
ACTA ADRIATICA,1,X,X,1,X,X
ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE,1,X,,X,X,1
ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE,0,X,0,X,X,X
ACTA BIOTHEORETICA,0,X,X,0,X,0
ACTA BOREALIA,1,X,,1,1,X
ACTA BOTANICA BRASILICA,1,X,,1,X,X
ACTA BOTANICA CROATICA,0,0,0,X,X,X
ACTA BOTANICA GALLICA,1,X,,X,1,X
ACTA CHIROPTEROLOGICA,1,X,,1,0,1
ACTA ETHOLOGICA,0,X,X,0,X,X
ACTA HERPETOLOGICA,1,X,,X,1,X
ACTA ICHTHYOLOGICA ET PISCATORIA,1,1,,1,X,X
ACTA OCEANOLOGICA SINICA,1,X,1,0,X,X
ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,1,1,,1,1,1
ACTA ONCOLOGICA,0,X,X,X,X,0
ACTA ORNITHOLOGICA,1,X,,1,X,0
ACTA PHYSIOLOGIAE PLANTARUM,1,1,,0,X,X
ACTA POLYTECHNICA HUNGARICA,0,X,X,0,X,X
ACTA SCIENTIARUM POLONORUM-TECHNOLOGIA ALIMENTARIA,1,X,1,X,X,X
ACTA SOCIETATIS BOTANICORUM POLONIAE,1,1,,1,X,X
ACTA THERIOLOGICA,1,X,,1,X,1
ACTA TROPICA,1,1,,1,1,1
ACTA ZOOLOGICA BULGARICA,1,1,,1,X,X
ACTIVIST SCIENCE AND TECHNOLOGY EDUCATION,0,X,X,0,X,X
ACTIVITIES OF TRANSPORT TELEMATICS,0,X,X,0,X,X
ACTUAL PROBLEMS OF ECONOMICS,0,X,X,X,0,X
ADAPTATION TO CLIMATE CHANGE: A SPATIAL CHALLENGE,1,X,X,X,1,X
ADAPTATION TO COASTAL STORMS IN ATLANTIC CANADA,0,0,X,X,X,X
"ADAPTING TO CLIMATE CHANGE: THRESHOLDS, VALUES, GOVERNANCE",0,X,X,X,0,X
ADAPTIVE CAPACITY AND ENVIRONMENTAL GOVERNANCE,0,X,X,X,0,X
ADDRESSING GLOBAL ENVIRONMENTAL SECURITY THROUGH INNOVATIVE EDUCATIONAL CURRICULA,0,X,X,X,0,X
ADMINISTRATIVE SCIENCES,0,0,X,X,X,X
"ADVANCED BUILDING MATERIALS AND SUSTAINABLE ARCHITECTURE, PTS 1-4",1,X,,X,1,X
"ADVANCED BUILDING MATERIALS, PTS 1-4",1,X,,X,1,X
"ADVANCED MATERIALS, MECHANICS AND INDUSTRIAL ENGINEERING",0,X,X,0,X,X
ADVANCED MODELLING TECHNIQUES STUDYING GLOBAL CHANGES IN ENVIRONMENTAL SCIENCES,0,X,X,0,X,X
ADVANCED RESEARCH ON ENERGY MATERIALS AND MATERIAL APPLICATION,1,X,X,X,1,X
ADVANCED SCIENCE LETTERS,0,X,0,X,X,X
"ADVANCES IN AGRONOMY, VOL 120",1,X,,X,1,X
"ADVANCES IN AGRONOMY, VOL 130",1,X,X,1,X,X
"ADVANCES IN AGRONOMY, VOL 136",1,X,1,X,X,X
"ADVANCES IN AGRONOMY, VOL 140",0,X,0,X,X,X
"ADVANCES IN AGRONOMY, VOL 143",0,X,0,X,X,X
"ADVANCES IN AGRONOMY, VOL 93",1,X,,X,X,1
ADVANCES IN ATMOSPHERIC SCIENCES,1,X,,X,X,1
"ADVANCES IN CEPHALOPOD SCIENCE: BIOLOGY, ECOLOGY, CULTIVATION AND FISHERIES",1,X,,1,X,X
"ADVANCES IN CIVIL ENGINEERING, PTS 1-6",0,X,X,X,0,X
"ADVANCES IN COMPLEX SOCIETAL, ENVIRONMENTAL AND ENGINEERED SYSTEMS",1,X,1,X,X,X
"ADVANCES IN ECOLOGICAL RESEARCH, VOL 42: ECOLOGICAL NETWORKS",0,X,X,X,0,X
"ADVANCES IN ECOLOGICAL RESEARCH, VOL 49: ECOLOGICAL NETWORKS IN AN AGRICULTURAL WORLD",1,X,,X,1,X
"ADVANCES IN ECOLOGICAL RESEARCH, VOL 52: TRAIT-BASED ECOLOGY - FROM STRUCTURE TO FUNCTION",1,X,,1,X,X
"ADVANCES IN ECOLOGICAL RESEARCH, VOL 55: LARGE-SCALE ECOLOGY: MODEL SYSTEMS TO GLOBAL PERSPECTIVES",1,X,,1,X,X
"ADVANCES IN EDUCATION AND MANAGEMENT, PT IV",1,X,,X,1,X
"ADVANCES IN ENERGY SCIENCE AND TECHNOLOGY, PTS 1-4",1,X,,1,X,X
"ADVANCES IN ENVIRONMENTAL RESEARCH, VOL 4",0,X,X,X,0,X
"ADVANCES IN ENVIRONMENTAL SCIENCE AND ENGINEERING, PTS 1-6",1,X,,X,1,X
"ADVANCES IN ENVIRONMENTAL TECHNOLOGIES, PTS 1-6",0,X,X,0,X,X
ADVANCES IN FISHERIES SCIENCE: 50 YEARS ON FROM BEVERTON AND HOLT,1,X,,X,X,1
ADVANCES IN FOREST FIRE RESEARCH,0,X,X,0,X,X
ADVANCES IN GISCIENCE,1,X,,X,1,X
"ADVANCES IN MARINE BIOLOGY, VOL 54",0,X,X,X,X,0
"ADVANCES IN MARINE BIOLOGY, VOL 79",0,0,X,X,X,X
ADVANCES IN MARINE VERTEBRATE RESEARCH IN LATIN AMERICA: TECHNOLOGICAL INNOVATION AND CONSERVATION,1,1,,X,X,X
"ADVANCES IN MATHEMATICAL CHEMISTRY AND APPLICATIONS, VOL 1",0,X,X,0,X,X
ADVANCES IN METEOROLOGY,1,X,,1,X,X
ADVANCES IN NURSING SCIENCE,1,X,,X,X,1
ADVANCES IN PHYSICS,0,X,X,0,X,X
ADVANCES IN SPACE RESEARCH,1,X,,X,1,X
ADVANCES IN WATER RESOURCES,1,X,1,X,1,X
"ADVANCES IN WATER RESOURCES AND HYDRAULIC ENGINEERING, VOLS 1-6",1,X,,X,1,X
ADVANCING AN ECOSYSTEM APPROACH IN THE GULF OF MARINE,1,X,,X,1,X
AEOLIAN RESEARCH,1,X,,X,1,X
AEROBIOLOGIA,1,X,,1,X,X
AESTHETICS AND BUSINESS ETHICS,0,X,X,0,X,X
AFRICA,0,X,X,0,X,X
AFRICAN ARCHAEOLOGICAL REVIEW,0,X,0,X,X,X
AFRICAN ENTOMOLOGY,1,X,1,X,X,1
AFRICAN JOURNAL OF AGRICULTURAL RESEARCH,1,X,,X,1,X
AFRICAN JOURNAL OF AQUATIC SCIENCE,1,X,,1,1,X
AFRICAN JOURNAL OF BIOTECHNOLOGY,1,X,,X,1,X
AFRICAN JOURNAL OF ECOLOGY,1,1,,1,1,1
AFRICAN JOURNAL OF MARINE SCIENCE,1,X,,1,1,1
AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE,1,0,,1,X,X
AFRICAN JOURNAL OF WILDLIFE RESEARCH,1,X,1,X,X,X
AFRICAN SECURITY REVIEW,0,0,X,X,X,X
AFRICAN ZOOLOGY,1,X,,1,1,1
AGRARIAN PERSPECTIVES XXIV: GLOBAL AGRIBUSINESS AND THE RURAL ECONOMY,0,X,X,0,X,X
AGREKON,0,X,0,X,X,0
"AGRICULTURAL AND ENVIRONMENTAL INFORMATICS, GOVERNANCE AND MANAGEMENT: EMERGING RESEARCH APPLICATIONS",1,X,,X,1,X
AGRICULTURAL AND FOOD SCIENCE,1,X,,X,X,1
AGRICULTURAL AND FOREST ENTOMOLOGY,1,X,1,1,1,X
AGRICULTURAL AND FOREST METEOROLOGY,1,1,,1,0,1
AGRICULTURAL BIOTECHNOLOGY IN INTERNATIONAL DEVELOPMENT,1,X,,X,X,1
AGRICULTURAL ECONOMICS,1,X,,X,X,1
AGRICULTURAL SCIENCE AND PRACTICE,1,X,1,X,X,X
AGRICULTURAL SYSTEMS,1,1,,1,X,1
AGRICULTURAL WATER MANAGEMENT,1,1,1,X,1,X
AGRICULTURE AND CLIMATE CHANGE - ADAPTING CROPS TO INCREASED UNCERTAINTY (AGRI 2015),1,X,,1,X,X
AGRICULTURE AND HUMAN VALUES,1,0,,0,1,X
AGRICULTURE ECOSYSTEMS & ENVIRONMENT,1,1,1,1,1,1
AGRICULTURE RESEARCH AND TECHNOLOGY,0,X,X,X,0,X
AGRICULTURE-BASEL,1,1,,X,X,X
AGROCIENCIA,1,X,,1,X,X
AGROECOLOGY AND STRATEGIES FOR CLIMATE CHANGE,1,X,,X,1,X
AGROECOLOGY AND SUSTAINABLE FOOD SYSTEMS,1,1,,1,X,X
AGROFORESTRY SYSTEMS,1,1,,1,1,1
AGROFORESTRY SYSTEMS IN INDIA: LIVELIHOOD SECURITY & ECOSYSTEM SERVICES,1,X,,1,X,X
AGROLIFE SCIENTIFIC JOURNAL,0,0,X,X,X,X
AGRONOMIE,1,X,,X,X,1
AGRONOMY FOR SUSTAINABLE DEVELOPMENT,1,1,1,1,1,X
